"car_travel_time","bike_travel_time","walk_travel_time","transit_travel_time","transit_headway","choice","av1","av2","av3","av4","numstops","triptime","waitime","cumdist","totalbikes","totalvehs","male","female","nocarlicence","greenlicence","fulllicence","trippurp1","trippurp2","trippurp3","trippurp4","trippurp5","trippurp6","trippurp7","trippurp8"
"10","16","55","31","15",3,1,1,1,1,"6","50","0","4.88","0","1",0,1,1,0,0,0,0,0,1,0,0,0,0
"9","15","53","31","20",3,1,1,1,1,"6","40","7","6.65","0","1",0,1,1,0,0,0,0,0,1,0,0,0,0
"23","56","191","70","10",4,1,1,1,1,"2","40","0","14.88","0","1",0,1,0,1,0,0,0,0,0,0,0,0,1
"22","54","188","59","15",4,1,1,1,1,"2","40","0","14.88","0","1",0,1,0,1,0,0,0,0,0,0,0,0,1
"95","321","1292","193","20",4,1,1,1,1,"3","90","0","99.25","0","2",1,0,0,0,1,0,0,0,0,0,0,0,0
"141","375","1560","250","18",4,1,1,1,1,"3","145","0","116.98","0","2",1,0,0,0,1,0,0,0,0,0,0,0,0
"25","87","275","111","20",4,1,1,1,1,"3","30","0","20.29","0","2",1,0,0,0,1,0,0,0,0,0,0,0,0
"7","11","38","27","20",4,1,1,1,1,"4","5","0","3.13","0","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"8","12","40","30","10",4,1,1,1,1,"4","5","0","3.13","0","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"7","11","38","28","9",4,1,1,1,1,"4","5","0","3.13","0","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"8","12","40","26","15",4,1,1,1,1,"4","5","0","3.13","0","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"7","11","38","27","20",4,1,1,1,1,"2","5","0","3.13","0","2",0,1,1,0,0,1,0,0,0,0,0,0,0
"8","12","40","30","10",4,1,1,1,1,"2","5","0","3.13","0","2",0,1,1,0,0,1,0,0,0,0,0,0,0
"8","11","38","26","20",4,1,1,1,1,"2","5","0","3.13","0","2",1,0,1,0,0,1,0,0,0,0,0,0,0
"8","12","40","28","10",4,1,1,1,1,"2","5","0","3.13","0","2",1,0,1,0,0,1,0,0,0,0,0,0,0
"6","10","36","26","23",1,1,1,1,1,"2","30","0","2.94","2","0",1,0,1,0,0,0,1,0,0,0,0,0,0
"7","10","37","23","20",1,1,1,1,1,"2","30","0","2.94","2","0",1,0,1,0,0,0,1,0,0,0,0,0,0
"6","7","23","17","20",1,1,1,1,1,"5","15","0","1.59","1","2",0,1,0,0,1,0,0,0,1,0,0,0,0
"6","7","26","21","20",1,1,1,1,1,"5","15","0","1.59","1","2",0,1,0,0,1,0,0,0,1,0,0,0,0
